"Field","Plot","Treatment","FieldError","Error","Biomass"
1,1,0,-0.560475646552213,2.18733299301658,20.3767788107658
1,1,1,-0.560475646552213,1.53261062618519,29.7220564439345
1,2,0,-0.560475646552213,-0.235700359100477,15.8304373728625
1,2,1,-0.560475646552213,-1.02642090030678,25.0397168316562
1,3,0,-0.560475646552213,-0.710406563699301,20.4046918787375
1,3,1,-0.560475646552213,0.25688370915653,31.3719821515934
2,1,0,-0.23017748948328,-0.246691878462374,19.8298768677274
2,1,1,-0.23017748948328,-0.347542599397733,29.729026146792
2,2,0,-0.23017748948328,-0.951618567265016,16.5419300692278
2,2,1,-0.23017748948328,-0.0450277248089203,27.4485209116839
2,3,0,-0.23017748948328,-0.784904469457076,21.4925478831995
2,3,1,-0.23017748948328,-1.66794193658814,30.6095104160684
3,1,0,1.55870831414912,-0.380226520287762,22.031410236815
3,1,1,1.55870831414912,0.918996609060766,33.3306333661635
3,2,0,1.55870831414912,-0.575346962608392,20.3932183855562
3,2,1,1.55870831414912,0.607964322225033,31.5765296703896
3,3,0,1.55870831414912,-1.61788270828916,21.73107692795
3,3,1,1.55870831414912,-0.0555619655245394,33.2933976707146
4,1,0,0.070508391424576,0.519407203943462,22.3461825704341
4,1,1,0.070508391424576,0.301153362166714,32.1279287286574
4,2,0,0.070508391424576,0.105676194148943,21.8193467488485
4,2,1,0.070508391424576,-0.640706008305376,31.0729645463942
4,3,0,0.070508391424576,-0.849704346033582,20.5980845535912
4,3,1,0.070508391424576,-1.02412879060491,30.4236601090198
5,1,0,0.129287735160946,0.117646597100126,21.3547696393363
5,1,1,0.129287735160946,-0.947474614184802,30.2896484280513
5,2,0,0.129287735160946,-0.490557443700668,19.5149068703068
5,2,1,0.129287735160946,-0.256092192198247,29.7493721218093
5,3,0,0.129287735160946,1.84386200523221,21.3612244129133
5,3,1,0.129287735160946,-0.651949901695459,28.8654125059857
6,1,0,1.71506498688328,0.235386572284857,21.1895095571434
6,1,1,1.71506498688328,0.0779608495637108,31.0320838344222
6,2,0,1.71506498688328,-0.961856634130129,19.3637943949121
6,2,1,1.71506498688328,-0.0713080861235987,30.2543429429187
6,3,0,1.71506498688328,1.44455085842335,22.7437812892674
6,3,1,1.71506498688328,0.451504053079215,31.7507344839233
7,1,0,0.460916205989202,0.0412329219929399,17.9713564248456
7,1,1,0.460916205989202,-0.422496832339625,27.507626670513
7,2,0,0.460916205989202,-2.05324722154052,22.7455809151257
7,2,1,0.460916205989202,1.13133721341418,35.9301653500804
7,3,0,0.460916205989202,-1.46064007092482,21.4162001316744
7,3,1,0.460916205989202,0.739947510877334,33.6167877134765
8,1,0,-1.26506123460653,1.90910356921748,18.3978251682042
8,1,1,-1.26506123460653,-1.4438931609718,25.044828438015
8,2,0,-1.26506123460653,0.701784335374711,18.63095343017
8,2,1,-1.26506123460653,-0.262197489402468,27.6669716053928
8,3,0,-1.26506123460653,-1.57214415914549,16.2294838990015
8,3,1,-1.26506123460653,-1.51466765378175,26.2869604043653
9,1,0,-0.686852851893526,-1.60153617357459,19.2715412112045
9,1,1,-0.686852851893526,-0.530906522170303,30.3421708626088
9,2,0,-0.686852851893526,-1.4617555849959,17.6846534301669
9,2,1,-0.686852851893526,0.687916772975828,29.8343257881386
9,3,0,-0.686852851893526,2.10010894052567,21.9198931166217
9,3,1,-0.686852851893526,-1.28703047603518,28.5327537000608
10,1,0,-0.445661970099958,0.787738847475178,20.2849833666778
10,1,1,-0.445661970099958,0.76904224100091,30.2662867602035
10,2,0,-0.445661970099958,0.332202578950118,19.8007996942675
10,2,1,-0.445661970099958,-1.00837660827701,28.4602205070404
10,3,0,-0.445661970099958,-0.119452606630659,22.1720899912983
10,3,1,-0.445661970099958,-0.280395335170247,32.0111472627587
11,1,0,1.22408179743946,0.56298953322048,21.3355293593414
11,1,1,1.22408179743946,-0.372438756103829,30.4001010700171
11,2,0,1.22408179743946,0.976973386685621,25.2339963929842
11,2,1,1.22408179743946,-0.374580857767014,33.8824421485315
11,3,0,1.22408179743946,1.05271146557933,19.1792876545584
11,3,1,1.22408179743946,-1.04917700666607,27.077399182313
12,1,0,0.359813827057364,-1.26015524475811,20.2688860815714
12,1,1,0.359813827057364,3.2410399349424,34.7700812612719
12,2,0,0.359813827057364,-0.416857588160432,20.1906647265862
12,2,1,0.359813827057364,0.298227591540715,30.9057499062873
12,3,0,0.359813827057364,0.636569674033849,21.4282666385792
12,3,1,0.359813827057364,-0.483780625708744,30.3079163388366
13,1,0,0.400771450594052,0.516862044313609,21.6769124604274
13,1,1,0.400771450594052,0.368964527385086,31.5290149434989
13,2,0,0.400771450594052,-0.215380507641693,19.1807440367338
13,2,1,0.400771450594052,0.0652930335253153,29.4614175779008
13,3,0,0.400771450594052,-0.034067253738464,19.7002894295168
13,3,1,0.400771450594052,2.12845189901618,31.8628085822714
14,1,0,0.11068271594512,-0.741336096272828,17.3321958534581
14,1,1,0.11068271594512,-1.09599626707466,26.9775356826563
14,2,0,0.11068271594512,0.0377883991710788,18.004888662165
14,2,1,0.11068271594512,0.310480749443137,28.2775810124371
14,3,0,0.11068271594512,0.436523478910183,21.1542634776638
14,3,1,0.11068271594512,-0.458365332711106,30.2593746660425
15,1,0,-0.555841134754075,-1.06332613397119,19.2772522885336
15,1,1,-0.555841134754075,1.26318517608949,31.6037635985943
15,2,0,-0.555841134754075,-0.349650387953555,19.2005169307534
15,2,1,-0.555841134754075,-0.865512862653374,28.6846544560536
15,3,0,-0.555841134754075,-0.236279568941097,21.0524142320643
15,3,1,-0.555841134754075,-0.197175894348552,31.0915179066568
16,1,0,1.78691313680308,1.10992028971364,26.997002797771
16,1,1,1.78691313680308,0.0847372921971965,35.9718198002546
16,2,0,1.78691313680308,0.754053785184521,21.5589045898745
16,2,1,1.78691313680308,-0.499292017172261,30.3055587875177
16,3,0,1.78691313680308,0.214445309581601,17.3830206951031
16,3,1,1.78691313680308,-0.324685911490835,26.8438894740306
17,1,0,0.497850478229239,0.0945835281735714,22.6039110553273
17,1,1,0.497850478229239,-0.895363357977542,31.6139641691762
17,2,0,0.497850478229239,-1.31080153332797,17.7686474197365
17,2,1,0.497850478229239,1.99721338474797,31.0766623378124
17,3,0,0.497850478229239,0.600708823672418,19.7225420689669
17,3,1,0.497850478229239,-1.25127136162494,27.8705618836696
18,1,0,-1.96661715662964,-0.611165916680421,19.4733596660833
18,1,1,-1.96661715662964,-1.18548008459731,28.8990454981665
18,2,0,-1.96661715662964,2.19881034888372,19.6626471781521
18,2,1,-1.96661715662964,1.31241297643351,28.7762498057019
18,3,0,-1.96661715662964,-0.265145056696353,15.3268023621649
18,3,1,-1.96661715662964,0.54319405923209,26.1351414780934
19,1,0,0.701355901563686,-0.41433994791886,20.6496229131431
19,1,1,0.701355901563686,-0.476246894615578,30.5877159664464
19,2,0,0.701355901563686,-0.788602837850243,19.6349703388354
19,2,1,0.701355901563686,-0.594617267459511,29.8289559092261
19,3,0,0.701355901563686,1.65090746733669,22.3637917407002
19,3,1,0.701355901563686,-0.0540281250854405,30.658856148278
20,1,0,-0.472791407727934,0.119245236427584,20.4170146309523
20,1,1,-0.472791407727934,0.243687429599092,30.5414568241238
20,2,0,-0.472791407727934,1.23247587848534,20.0183644071726
20,2,1,-0.472791407727934,-0.51606383094478,28.2698246977425
20,3,0,-0.472791407727934,-0.992507150392037,19.8234545389177
20,3,1,-0.472791407727934,1.67569693240319,32.4916586217129
21,1,0,-1.06782370598685,-0.441163216905286,18.0500399534704
21,1,1,-1.06782370598685,-0.723065969939874,27.7681372004358
21,2,0,-1.06782370598685,-1.23627311888329,18.3594671029613
21,2,1,-1.06782370598685,-1.2847157223178,28.3110244995268
21,3,0,-1.06782370598685,-0.573973479297987,20.5518808410139
21,3,1,-1.06782370598685,0.617985817166529,31.7438401374784
22,1,0,-0.217974914658295,1.10984813892972,21.762236205939
22,1,1,-0.217974914658295,0.707588353835588,31.3599764208449
22,2,0,-0.217974914658295,-0.363657297095253,18.766504617184
22,2,1,-0.217974914658295,0.0597499373846007,29.1899118516639
22,3,0,-0.217974914658295,-0.70459646368007,21.3750438585638
22,3,1,-0.217974914658295,-0.71721816157401,31.3624221606699
23,1,0,-1.02600444830724,0.88465049897692,21.8456537625939
23,1,1,-1.02600444830724,-1.01559257860354,29.9454106850135
23,2,0,-1.02600444830724,1.95529396549246,22.0260834362014
23,2,1,-1.02600444830724,-0.0903195939658516,29.980469876743
23,3,0,-1.02600444830724,0.214538826629216,19.6659978485449
23,3,1,-1.02600444830724,-0.738527704739573,28.7129313171761
24,1,0,-0.72889122929114,-0.57438868976327,17.4409079288668
24,1,1,-0.72889122929114,-1.31701613230524,26.6982804863249
24,2,0,-0.72889122929114,-0.182925388372727,21.8094882793961
24,2,1,-0.72889122929114,0.418982404924464,32.4113960726933
24,3,0,-0.72889122929114,0.32430434416138,18.394893940576
24,3,1,-0.72889122929114,-0.781536487054751,27.2890531093599
